Cég ID,Cégnév,Nettó árbevétel 2010 (Ezer Ft),Adózott eredmény 2010 (Ezer Ft),Üzemi eredmény 2010 (Ezer Ft),Nettó árbevétel 2011 (Ezer Ft),Adózott eredmény 2011 (Ezer Ft),Üzemi eredmény 2011 (Ezer Ft),Nettó árbevétel 2012 (Ezer Ft),Adózott eredmény 2012 (Ezer Ft),Üzemi eredmény 2012 (Ezer Ft),Nettó árbevétel 2013 (Ezer Ft),Adózott eredmény 2013 (Ezer Ft),Üzemi eredmény 2013 (Ezer Ft),Nettó árbevétel 2014 (Ezer Ft),Adózott eredmény 2014 (Ezer Ft),Üzemi eredmény 2014 (Ezer Ft),Nettó árbevétel 2015 (Ezer Ft),Adózott eredmény 2015 (Ezer Ft),Üzemi eredmény 2015 (Ezer Ft),Nettó árbevétel 2016 (Ezer Ft),Adózott eredmény 2016 (Ezer Ft),Üzemi eredmény 2016 (Ezer Ft),Nettó árbevétel 2017 (Ezer Ft),Adózott eredmény 2017 (Ezer Ft),Üzemi eredmény 2017 (Ezer Ft),megjegyzés
91722,Magyar RTL Televízió Zártkörűen Működő Részvénytársaság,29106570,3103734,3439533,29205112,2641738,2255672,25799023,6643380,-23637052,23691843,2359104,481742,21591614,-1821421,-2343996,27346437,420242,518128,28154694,-1440819,-1396500,34257102,1212656,1219958,
99037,TV2 Média Csoport Korlátolt Felelősségű Társaság,0,0,0,0,0,0,0,0,0,0,-48976,-48976,9692062,-524245,115438,18372275,-5504702,-4585617,23688767,-7187402,-6049178,,,,A cég átalakulás útján megszűnt 2016.12.31. Jogutód: TV2 Média Csoport Zártkörűen Működő Részvénytársaság
98662,AMC Networks Central Europe Korlátolt Felelősségű Társaság,0,0,0,0,0,0,0,0,0,0,0,0,15236591,-665209,2172253,18213376,1028815,3117366,18145555,-2438148,1121431,18240843,-10353220,-4231565,
96380,RTL Holding Korlátolt Felelősségű Társaság,0,-500,-500,4654782,758619,998015,7621166,1702286,1965481,10187097,2501302,2794211,11476661,3263919,3263609,136,385690,382799,0,-681,-3480,,,,nincs médiuma 2017
100016,Central Médiacsoport Zártkörűen Működő Részvénytársaság (2015.q2-től),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7894384,692856,923471,11420235,214453,123322,11100533,1754793,1602311,
99425,Mediaworks Hungary Zártkörűen Működő Részvénytársaság,0,0,0,0,0,0,0,0,0,0,-30,-30,121055,72856,142101,912845,456566,685690,11391782,-2423045,-2196948,20406205,4341919,4360483,
97602,Viacom Global Hungary Korlátolt Felelősségű Társaság,0,-27,-34,4489566,198002,144858,4186636,56953,25320,4144117,59632,70332,6905998,370093,464821,8493492,742965,873969,10168495,189237,367590,9264531,63479,203379,A cég átalakulás útján megszűnt: 2017.06.30. Jogutód: Viacom International Hungary Korlátolt Felelősségű Társaság
91092,Lapcom Kiadó Zártkörűen Működő Részvénytársaság,2227635,136801,127686,1865604,121501,114002,12743,-198922,-185990,3382457,372442,386853,9600464,301685,1150085,9510634,1365208,1424178,10001904,1393325,1472598,10477747,-636106,-625759,
92258,Pannon Lapok Társasága Kiadói Korlátolt Felelősségű Társaság,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7522479,1138544,1150453,
92000,MTM-SBS Televízió Zártkörűen Működő Részvénytársaság,19003049,-2263860,-2184301,16264845,-8947171,-7910385,14239189,-6707315,-6145714,16180021,-10887047,-10786814,7867248,-975047,-653061,0,0,0,0,0,0,,,,A cég átalakulás útján megszűnt 2014.06.30. Jogutód: TV2 Média Csoport Korlátolt Felelősségű Társaság
