1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medium_ID,Medium_nev,Partner_ID,Név,Vegtulaj_1_ID,Vegtulaj_1,Vegtulaj_2_ID,Vegtulaj_2,Vegtulaj_3_ID,Vegtulaj_3,Vegtulaj_4_ID,Vegtulaj_4,Vegtulaj_5_ID,Vegtulaj_5,Vegtulaj_6_ID,Vegtulaj_6,Vegtulaj_7_ID,Vegtulaj_7,Vegtulaj_8_ID,Vegtulaj_8,Vegtulaj_9_ID,Vegtulaj_9,Vegtulaj_1_ID,Vegtulaj_1,Vegtulaj_11_ID,Vegtulaj_11,Vegtulaj_12_ID,Vegtulaj_12,Vegtulaj_13_ID,Vegtulaj_13,Vegtulaj_14_ID,Vegtulaj_14,Vegtulaj_15_ID,Vegtulaj_15,Vegtulaj_16_ID,Vegtulaj_16,Vegtulaj_17_ID,Vegtulaj_17,Vegtulaj_18_ID,Vegtulaj_18,Vegtulaj_19_ID,Vegtulaj_19,Vegtulaj_2_ID,Vegtulaj_20,Vegtulaj_21_ID,Vegtulaj_21,Vegtulaj_22_ID,Vegtulaj_22,Vegtulaj_23_ID,Vegtulaj_23,Vegtulaj_24_ID,Vegtulaj_24,Vegtulaj_25_ID,Vegtulaj_25,Vegtulaj_26_ID,Vegtulaj_26,Vegtulaj_27_ID,Vegtulaj_27,Vegtulaj_28_ID,Vegtulaj_28,Vegtulaj_29_ID,Vegtulaj_29,Vegtulaj_3_ID,Vegtulaj_3,Vegtulaj_31_ID,Vegtulaj_31
19901,Alfa TV47,199001,ALFA Televízió Korlátolt Felelősségű Társaság,1780,Sótonyi József,2092,Pellikán Nóra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10416,ATV,90167,Agro TV-ATV Zrt.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19902,Budapest TV,199015,dr. Bródy Péter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10155,Duna,90621,Duna Televízió Rt.,1090,Hungária Televízió Közalapítvány,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10412,M1,91738,Magyar Televízió Rt.,1111,Magyar Televízió Közalapítvány,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10414,M2,91738,Magyar Televízió Rt.,1111,Magyar Televízió Közalapítvány,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19905,M-Sat (A3),199032,Hungarian Broadcasting Corporation Televíziós Rt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10556,RTL Klub,91722,M-RTL Rt,1879,PEARSON ASIA PACIFIC LIMITED,1880,RAIFFEISEN OST INVEST UNTERNEHMENBETEILIGUNG GMBH,1032,CLT UFA S. A,1863,GRUNDY INTERNATIONAL HOLDINGS NO 1 B. V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10588,Spektrum TV,199060,Spektrum-TV Rt,2078,Magyar Programming Holding Co.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19909,Szív TV,199065,Szív TV Rt.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
