2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medium_ID,Medium_nev,Partner_ID,Név,Vegtulaj_1_ID,Vegtulaj_1,Vegtulaj_2_ID,Vegtulaj_2,Vegtulaj_3_ID,Vegtulaj_3,Vegtulaj_4_ID,Vegtulaj_4,Vegtulaj_5_ID,Vegtulaj_5,Vegtulaj_6_ID,Vegtulaj_6,Vegtulaj_7_ID,Vegtulaj_7,Vegtulaj_8_ID,Vegtulaj_8,Vegtulaj_9_ID,Vegtulaj_9,Vegtulaj_10_ID,Vegtulaj_10,Vegtulaj_11_ID,Vegtulaj_11,Vegtulaj_12_ID,Vegtulaj_12,Vegtulaj_13_ID,Vegtulaj_13,Vegtulaj_14_ID,Vegtulaj_14,Vegtulaj_15_ID,Vegtulaj_15
10020,Animal Planet,98206,Discovery Hungary Média Szolgáltató Korlátolt Felelősségű Társaság,1042,Discovery Polska Sp. z.o.o.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10022,Animax (A+),98205,AXN Magyaroszág Szolgáltató Korlátolt Felelősségű Társaság,1012,AXN Central Europe LLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10416,ATV,90167,Agro TV-ATV Zrt.,1376,Hit és Erkölcs Kulturális Alap,1377,Hit Gyülekezete,1672,ARÉNA 2000 Reklámügynökség Kft.,1704,Benthany Home Care,,,,,,,,,,,,,,,,,,,,,,
10029,AXN,98205,AXN Magyaroszág Szolgáltató Korlátolt Felelősségű Társaság,1012,AXN Central Europe LLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19902,Budapest TV,199015,dr. Bródy Péter,199015,dr. Bródy Péter,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19903,Cool TV (m+),91168,IKO Kábeltévé Kft.,1391,Rákosi Tamás,1141,Opticorp S.A.,,,,,,,,,,,,,,,,,,,,,,,,,,
10142,Discovery Channel,98206,Discovery Hungary Média Szolgáltató Korlátolt Felelősségű Társaság,1042,Discovery Polska Sp. z.o.o.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10155,Duna,90621,Duna Televízió Zrt.,1090,Hungária Televízió Közalapítvány,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10026,Duna World,90621,Duna Televízió Zrt.,1090,Hungária Televízió Közalapítvány,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10170,Echo TV,90648,"Echo Hungária TV Televíziózási, Kommunikációs és Szolgáltató Zrt.",1417,Széles Gábor,1207,Vasvári Csaba,,,,,,,,,,,,,,,,,,,,,,,,,,
10235,Film Mánia,199023,Filmmúzeum Zrt.,1712,dr. Lissák Marcell,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10230,Film+,91168,IKO Kábeltévé Kft.,1391,Rákosi Tamás,1141,Opticorp S.A.,,,,,,,,,,,,,,,,,,,,,,,,,,
10249,Fix,999999,Egyéb üzemeltető,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10001,Főnix TV,92254,PANNON BROADCAST Televízió Kolrátolt Felelősségű Társaság,1713,Dr. Tímár Krisztina,1598,Sebeő Ágnes,1705,Blastik Noémi Judit,1711,Dr. Kékesi Attila,1553,Blastik Ferenc Tamás,1732,Kovács Zsuzsanna,1752,Wiegmann Alfréd,1751,Vollner Judit,,,,,,,,,,,,,,
10273,Hálózat TV,91029,Hálózatos Televíziók Zártkörűen Működő Részvénytársaság,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10297,Hír Tv,91112,Hír Televízió Rt.,1202,Töröcskei István,248035,PRO-AURUM Vagyonkezelő Zrt.,,,,,,,,,,,,,,,,,,,,,,,,,,
19904,Írisz TV,199036,Írisz TV Rt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10412,M1,91738,Magyar Televízió Rt.,1111,Magyar Televízió Közalapítvány,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10414,M2,91738,Magyar Televízió Rt.,1111,Magyar Televízió Közalapítvány,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10434,Minimax,999999,Egyéb üzemeltető,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10450,MTV,999999,Egyéb üzemeltető,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10512,Pax TV,92287,Pax TV Zrt.,1071,Ferenczy Károly,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10556,RTL Klub,91722,M-RTL Zrt.,1391,Rákosi Tamás,245759,Magyar Telekom Távközlési Nyrt.,1141,Opticorp S.A.,1032,CLT UFA S. A,,,,,,,,,,,,,,,,,,,,,,
10588,Spektrum TV,199060,Spektrum-TV Zrt,1742,SPE Hungary Investments Inc.,1675,BVI Television (Central Europe) Inc.,1683,HBO Central Europe Holdings Inc.,1720,HBO Hungary Holding LLC,,,,,,,,,,,,,,,,,,,,,,
10130,Spektrum Home,199066,TV Paprika Zrt.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10593,Sport1,199061,Sport1 TV Zrt.,1707,chellomedia Programming Financing HoldCo B. V.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10594,Sport2,199061,Sport1 TV Rt.,1707,chellomedia Programming Financing HoldCo B. V.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10590,Sport Klub,91168,IKO Kábeltévé Kft.,1391,Rákosi Tamás,1141,Opticorp S.A.,,,,,,,,,,,,,,,,,,,,,,,,,,
10003,Story 4 (Story TV),92565,Sanoma Digital Media Zrt.,1494,Borsány-Gyenes András,1171,Sanoma Magazines International B. V.,,,,,,,,,,,,,,,,,,,,,,,,,,
10687,TV Paprika,199066,TV Paprika Zrt.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10697,TV2,92000,MTM-SBS Televízió Zrt.,1640,Kereszty Gábor,1625,Dr. Benke Gábor,1175,SBS Broadcasting Europe B.V.,1037,Danube Broadcasting B.V.,,,,,,,,,,,,,,,,,,,,,,
10740,Viasat Explore,98204,Viasat Hungária Zrt.,1133,MTG Broadcasting AB,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10741,Viasat History,98204,Viasat Hungária Zrt.,1133,MTG Broadcasting AB,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10742,Viasat3,98204,Viasat Hungária Zrt.,1133,MTG Broadcasting AB,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10747,Vitál TV,93113,Vital TV Zrt.,1417,Széles Gábor,1418,Széles Gáborné,1419,Széles Kinga,1420,Széles Anna,,,,,,,,,,,,,,,,,,,,,,
10748,VIVA (Z+),93152,Z+ Műsorszolgáltató Rt.,1748,Viva Fernsehen GmbH,1749,Viva Media GmbH,,,,,,,,,,,,,,,,,,,,,,,,,,
19911,Zenit TV,199070,Zenit Televízió Rt.,1669,Zámbó László Sándor,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29901,Sláger Rádió,93480,Sláger Rádió Műsorszolgáltató Zrt.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
