2009,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Medium_ID,Medium_nev,Partner_ID,Név,Vegtulaj_1_ID,Vegtulaj_1,Vegtulaj_2_ID,Vegtulaj_2,Vegtulaj_3_ID,Vegtulaj_3,Vegtulaj_4_ID,Vegtulaj_4,Vegtulaj_5_ID,Vegtulaj_5,Vegtulaj_6_ID,Vegtulaj_6,Vegtulaj_7_ID,Vegtulaj_7,Vegtulaj_8_ID,Vegtulaj_8,Vegtulaj_9_ID,Vegtulaj_9,Vegtulaj_10_ID,Vegtulaj_1,Vegtulaj_11_ID,Vegtulaj_11
10020,Animal Planet,98206,Discovery Hungary Média Szolgáltató Korlátolt Felelősségű Társaság,1042,Discovery Polska Sp. z.o.o.,,,,,,,,,,,,,,,,,,,,
10022,Animax (A+),98205,AXN Magyaroszág Szolgáltató Korlátolt Felelősségű Társaság,1012,AXN Central Europe LLC,,,,,,,,,,,,,,,,,,,,
10416,ATV,90167,ATV Zrt.,1376,Hit és Erkölcs Kulturális Alap,1377,Hit Gyülekezete,1378,X & A Marketing and Holding Limited,,,,,,,,,,,,,,,,
10029,AXN,98205,AXN Magyaroszág Szolgáltató Korlátolt Felelősségű Társaság,1012,AXN Central Europe LLC,,,,,,,,,,,,,,,,,,,,
19902,Budapest TV,199005,Buda-Pest Európa Televízió Zrt.,199015,Dr. Bródy Péter,,,,,,,,,,,,,,,,,,,,
10107,Comedy Central,90439,COMEDY CENTRAL MAGYARORSZÁG Zártkörűen Működő Részvénytársaság,1094,Invisions Holding BV.,,,,,,,,,,,,,,,,,,,,
19903,Cool TV (m+),91168,IKO Kábeltévé Kft.,1391,Rákosi Tamás,1141,Opticorp S.A.,,,,,,,,,,,,,,,,,,
10123,D1 TV,90598,Domino TV Műsorszolgáltató Zártkörűen Működő Részvénytársaság,1485,Szilczer Attila,1484,Szilczer Krisztina,1006,Aradi Péter,1483,Szilczer András,1486,Szilczer Attiláné,,,,,,,,,,,,
10142,Discovery Channel,98206,Discovery Hungary Média Szolgáltató Korlátolt Felelősségű Társaság,1042,Discovery Polska Sp. z.o.o.,,,,,,,,,,,,,,,,,,,,
10151,DoQ,91168,IKO Kábeltévé Kft.,1391,Rákosi Tamás,1141,Opticorp S.A.,,,,,,,,,,,,,,,,,,
10155,Duna,90621,Duna Televízió Zrt.,1090,Hungária Televízió Közalapítvány,,,,,,,,,,,,,,,,,,,,
10026,Duna World,90621,Duna Televízió Zrt.,1090,Hungária Televízió Közalapítvány,,,,,,,,,,,,,,,,,,,,
10170,Echo TV,90648,"Echo Hungária TV Televíziózási, Kommunikációs és Szolgáltató Zrt.",1417,Széles Gábor,1418,Széles Gáborné,1419,Széles Kinga,1420,Széles Anna,1207,Vasvári Csaba,,,,,,,,,,,,
10235,Film Mánia,90866,Filmmúzeum Műsorszolgáltató Zártkörűen Működő Részvénytársaság,1031,CHELLOMEDIA CEE HOLDCO B.V.,,,,,,,,,,,,,,,,,,,,
10230,Film+,91168,IKO Kábeltévé Kft.,1391,Rákosi Tamás,1141,Opticorp S.A.,,,,,,,,,,,,,,,,,,
10653,The Fishing and Hunting Channel,91168,IKO Kábeltévé Kft.,1391,Rákosi Tamás,1141,Opticorp S.A.,,,,,,,,,,,,,,,,,,
10249,Fix,92403,PROGETTO MÉDIA Szolgáltató Korlátolt Felelősségű Társaság,1559,dr. Borbély Andrea,1552,Biczó Antal,,,,,,,,,,,,,,,,,,
10001,Főnix TV,92254,PANNON BROADCAST Televízió Kolrátolt Felelősségű Társaság,1598,Sebeő Ágnes,1553,Blastik Ferenc Tamás,,,,,,,,,,,,,,,,,,
10273,Hálózat TV,91029,Hálózatos Televíziók Zártkörűen Működő Részvénytársaság,,,,,,,,,,,,,,,,,,,,,,
10297,Hír Tv,91112,Hír Televízió Zrt.,1202,Töröcskei István,248035,PRO-AURUM Vagyonkezelő Zrt.,,,,,,,,,,,,,,,,,,
10313,Info24,91183,INFO-24. TV Televíziós Zártkörűen Müködő Részvénytársaság,1602,SUZANNE ZOLCER,1564,Eva Zolcer,,,,,,,,,,,,,,,,,,
10403,Life Tv,92176,Origo Média és Kommunikációs Szolgáltató Zártkörűen Működő Részvénytársaság,245759,Magyar Telekom Távközlési Nyrt.,,,,,,,,,,,,,,,,,,,,
10412,M1,91738,Magyar Televízió Zrt.,1111,Magyar Televízió Közalapítvány,,,,,,,,,,,,,,,,,,,,
10414,M2,91738,Magyar Televízió Zrt.,1111,Magyar Televízió Közalapítvány,,,,,,,,,,,,,,,,,,,,
10434,Minimax,90417,Chello Central Europe Műsorszolgáltató Zártkörűen Működő Részvénytársaság,1031,Chellomedia CEE HoldCo B.V.,,,,,,,,,,,,,,,,,,,,
10450,MTV,92002,MTV Networks Magyarország Műsorszolgáltató Zártkörűen Működő Részvénytársaság,1134,MTV Networks Productions B.V.,,,,,,,,,,,,,,,,,,,,
10500,Ozone TV,92176,Origo Média és Kommunikációs Szolgáltató Zártkörűen Működő Részvénytársaság,245759,Magyar Telekom Távközlési Nyrt.,,,,,,,,,,,,,,,,,,,,
10512,Pax TV,92287,Pax TV Zrt.,1071,Ferenczy Károly,,,,,,,,,,,,,,,,,,,,
10540,PV TV,93923,Tematik Kabel Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság,1597,Sándor Tünde,1358,Morar Nicolae Radu,,,,,,,,,,,,,,,,,,
10547,Reflektor TV,91168,IKO Kábeltévé Kft.,1391,Rákosi Tamás,1141,Opticorp S.A.,,,,,,,,,,,,,,,,,,
10556,RTL Klub,91722,M-RTL Zrt.,1391,Rákosi Tamás,1141,Opticorp S.A.,1032,CLT UFA S. A,,,,,,,,,,,,,,,,
19906,RTL + (TV Poén!),91168,IKO Kábeltévé Kft.,1391,Rákosi Tamás,1141,Opticorp S.A.,,,,,,,,,,,,,,,,,,
10478,Sláger TV,93923,Tematik Kabel Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság,1597,Sándor Tünde,1358,Morar Nicolae Radu,,,,,,,,,,,,,,,,,,
10587,Sorozat+,91168,IKO Kábeltévé Kft.,1391,Rákosi Tamás,1141,Opticorp S.A.,,,,,,,,,,,,,,,,,,
10588,Spektrum TV,199060,Spektrum-TV Zrt,1031,Chellomedia CEE HoldCo B.V.,,,,,,,,,,,,,,,,,,,,
10130,Spektrum Home,92968,TV Paprika Műsorszolgáltató Zártkörűen Működő Részvénytársaság,1031,Chellomedia CEE HoldCo B.V.,,,,,,,,,,,,,,,,,,,,
10593,Sport1,90417,Chello Central Europe Műsorszolgáltató Zártkörűen Működő Részvénytársaság,1031,Chellomedia CEE HoldCo B.V.,,,,,,,,,,,,,,,,,,,,
10594,Sport2,90417,Chello Central Europe Műsorszolgáltató Zártkörűen Működő Részvénytársaság,1031,Chellomedia CEE HoldCo B.V.,,,,,,,,,,,,,,,,,,,,
10590,Sport Klub,91168,IKO Kábeltévé Kft.,1391,Rákosi Tamás,1141,Opticorp S.A.,,,,,,,,,,,,,,,,,,
