,Időszak:,,2017. IV. név,,,,,,,,,,,,,,,,,,,,,,
Médium ID,Médium márkaneve,Üzemeltető_ID,Üzemeltető_név,Vegtulaj_1_ID,Vegtulaj_1,Vegtulaj_2_ID,Vegtulaj_2,Vegtulaj_3_ID,Vegtulaj_3,Vegtulaj_4_ID,Vegtulaj_4,Vegtulaj_5_ID,Vegtulaj_5,Vegtulaj_6_ID,Vegtulaj_6,Vegtulaj_7_ID,Vegtulaj_7,Vegtulaj_8_ID,Vegtulaj_8,Vegtulaj_9_ID,Vegtulaj_9,Vegtulaj_10_ID,Vegtulaj_10,Vegtulaj_11_ID,Vegtulaj_11
10003,STORY 4,92565,Digital Media and Communications Közép-európai Kommunikációs Zártkörűen Működő Részvénytársaság,1360,Tóth Béla József,1361,Csák Ambrus Pál,1487,dr. Borsány Ildikó,1496,Fehérné Élő Ágnes,1497,Bujdosó Anita,1494,Borsány-Gyenes András,1495,Gyenes András,,,,,,,,
10018,Alföld Televízió,999999,Egyéb üzemeltető,,,,,,,,,,,,,,,,,,,,,,
10020,Animal Planet ,98206,Discovery Hungary Média Szolgáltató Korlátolt Felelősségű Társaság,1042,Discovery Polska Sp. z.o.o.,,,,,,,,,,,,,,,,,,,,
10026,Duna World (Duna II Autonómia),90621,Duna Médiaszolgáltató Nonprofit Zártkörűen Működő Részvénytársaság,1111,Közszolgálati Közalapítvány,,,,,,,,,,,,,,,,,,,,
10029,AXN,98205,AXN Magyaroszág Szolgáltató Korlátolt Felelősségű Társaság,1033,Columbia Pictures Corporation Ltd.,,,,,,,,,,,,,,,,,,,,
10040,Bajai Televízió,90206,BAJA MARKETING Bajai Kommunikációs és Marketing Korlátolt Felelősségű Társaság,1013,Baja Önkormányzata,,,,,,,,,,,,,,,,,,,,
10107,Comedy Central,99538,Viacom International Hungary Korlátolt Felelősségű Társaság,1501,Paramount Pictures International Limited,,,,,,,,,,,,,,,,,,,,
10123,d1 tv,90598,Domino Tv Műsorszolgáltató Zártkörűen működő Részvénytársaság,1485,Szilczer Attila,1484,Szilczer Krisztina,1483,Szilczer András,1486,Szilczer Attiláné,1007,Aradi-Beöthy Péter,1069,Fazekas Katalin,,,,,,,,,,
10128,Debrecen Televízió,90518,Médiacentrum Debrecen Korlátolt Felelősségű Társaság,1425,Debrecen Önkormányzata,,,,,,,,,,,,,,,,,,,,
10130,Spektrum Home (Deko Televízió),98662,AMC Networks Central Europe Korlátolt Felelősségű Társaság,1004,AMC Central Europe Holdings B.V.,,,,,,,,,,,,,,,,,,,,
10142,Discovery Channel,98206,Discovery Hungary Média Szolgáltató Korlátolt Felelősségű Társaság,1042,Discovery Polska Sp. z.o.o.,,,,,,,,,,,,,,,,,,,,
10151,DoQ,93923,Tematik Kabel Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság,1186,Székely Ákos,1358,Morar Nicolae Radu,,,,,,,,,,,,,,,,,,
10155,Duna TV ,90621,Duna Médiaszolgáltató Nonprofit Zártkörűen Működő Részvénytársaság,1111,Közszolgálati Közalapítvány,,,,,,,,,,,,,,,,,,,,
10170,Echo TV,90648,"Echo Hungária TV Televíziózási, Kommunikációs és Szolgáltató Zártkörű Részvénytársaság",1388,Mészáros Lőrinc,1390,Mészárosné Kelemen Beatrix Csilla,,,,,,,,,,,,,,,,,,
10226,Fehérvár Televízió,90828,Fehérvár Médiacentrum Korlátolt Felelősségű Társaság,1187,Székesfehérvár Önkormányzata,,,,,,,,,,,,,,,,,,,,
10235,Film Mánia (Filmmúzeum ),98662,AMC Networks Central Europe Korlátolt Felelősségű Társaság,1004,AMC Central Europe Holdings B.V.,,,,,,,,,,,,,,,,,,,,
10297,Hír TV,91112,HírTV Műsorszolgáltató és Hirdetésszervező Zártkörűen Működő Részvénytársaság,1374,Tóth Marianna,1375,Kovács István László,1054,dr. Simicska Lajos,1372,dr. Nagy Ajtony Csaba,1046523,PRO-RÁTA HOLDING Zrt.,1048,dr. Fonyó Károly,,,,,,,,,,
10403,Life TV (Life Network),92176,New Wave Media Group Média és Kommunikációs Szolgáltató Zártkörűen Működő Részvénytársaság,1017,BAWACO INVEST S.R.O.,,,,,,,,,,,,,,,,,,,,
10412,M1,90621,Duna Médiaszolgáltató Nonprofit Zártkörűen Működő Részvénytársaság,1111,Közszolgálati Közalapítvány,,,,,,,,,,,,,,,,,,,,
10414,M2,90621,Duna Médiaszolgáltató Nonprofit Zártkörűen Működő Részvénytársaság,1111,Közszolgálati Közalapítvány,,,,,,,,,,,,,,,,,,,,
10416,Magyar ATV,90167,ATV Első Magyar Magántelevíziós Zártkörűen Működő Részvénytársaság,1376,HIT ÉS ERKÖLCS KULTURÁLIS ALAP,1377,HIT GYÜLEKEZETE,1378,X & A Marketing and Holding Limited,1137,Németh Sándor,,,,,,,,,,,,,,
10434,Minimax,98662,AMC Networks Central Europe Korlátolt Felelősségű Társaság,1004,AMC Central Europe Holdings B.V.,,,,,,,,,,,,,,,,,,,,
10435,Miskolc Városi Televizió,91920,MIKOM Miskolci Kommunikációs Nonprofit Korlátolt Felelősségű Társaság,1498,Miskolc Önkormányzata,,,,,,,,,,,,,,,,,,,,
10450,MTV (MTV Hungary),99538,Viacom International Hungary Korlátolt Felelősségű Társaság,1501,Paramount Pictures International Limited,,,,,,,,,,,,,,,,,,,,
10459,Muzsika TV,91722,Magyar RTL Televízió Zártkörűen Működő Részvénytársaság,1165,RTL Group Central & Eastern Europe GmbH,,,,,,,,,,,,,,,,,,,,
10477,Nickelodeon ,99538,Viacom International Hungary Korlátolt Felelősségű Társaság,1501,Paramount Pictures International Limited,,,,,,,,,,,,,,,,,,,,
10487,Nyíregyházi Városi Televizió,93039,VÁROS-KÉP Szolgáltató Nonprofit Korlátolt Felelősségű Társaság,1140,Nyíregyháza Önkormányzata,,,,,,,,,,,,,,,,,,,,
10500,Ozone TV (Ozone Network),92176,New Wave Media Group Média és Kommunikációs Szolgáltató Zártkörűen Működő Részvénytársaság,1017,BAWACO INVEST S.R.O.,,,,,,,,,,,,,,,,,,,,
10512,Pax TV,92287,Pax Televízió Műsorszolgáltató Zártkörűen Működő Részvénytársaság,1071,Ferenczy Károly,,,,,,,,,,,,,,,,,,,,
