Médium ID,Médium márkaneve,Médiatípus,Hír=1; nem hír=0
10003,STORY 4,televízió,0
10018,Alföld Televízió,televízió,1
10020,Animal Planet ,televízió,0
10026,Duna World (Duna II Autonómia),televízió,1
10029,AXN,televízió,0
10040,Bajai Televízió,televízió,1
10107,Comedy Central,televízió,0
10123,d1 tv,televízió,0
10128,Debrecen Televízió,televízió,1
10130,Spektrum Home (Deko Televízió),televízió,0
10142,Discovery Channel,televízió,0
10151,DoQ,televízió,0
10155,Duna TV ,televízió,1
10170,Echo TV,televízió,1
10226,Fehérvár Televízió,televízió,1
10235,Film Mánia (Filmmúzeum ),televízió,0
10297,Hír TV,televízió,1
10403,Life TV (Life Network),televízió,0
10412,M1,televízió,1
10414,M2,televízió,0
10416,Magyar ATV,televízió,1
10434,Minimax,televízió,0
10435,Miskolc Városi Televizió,televízió,1
10450,MTV (MTV Hungary),televízió,0
10459,Muzsika TV,televízió,0
10477,Nickelodeon ,televízió,0
10487,Nyíregyházi Városi Televizió,televízió,1
10500,Ozone TV (Ozone Network),televízió,0
10512,Pax TV,televízió,0
10514,Pécs TV,televízió,1
10551,Győr+TV (REVITA TV GYŐR),televízió,1
10556,RTL Klub,televízió,1
10588,Spektrum TV,televízió,0
10592,SPORT M,televízió,0
10593,Sport1,televízió,0
10594,Sport2,televízió,0
10616,Szentgotthárd Városi Televízió,televízió,1
10653,The Fishing and Hunting Channel,televízió,0
10658,TiszapART TV,televízió,1
10687,TV Paprika,televízió,0
10697,TV2,televízió,1
10700,Viasat6,televízió,0
10705,Újbuda TV,televízió,1
10706,Újpesti Közösségi Televízió (Újpesti Közéleti Televízió),televízió,1
10727,Városi Televízió Szeged,televízió,1
10742,Viasat3,televízió,0
10748,VIVA,televízió,0
10811,STORY 5,televízió,0
10855,Hatvan Tv,televízió,1
10924,Euronews (magyar),televízió,1
10933,M3,televízió,1
10948,Paramount Channel Hungary,televízió,0
10961,Galaxy,televízió,0
10971,Petőfi TV,televízió,0
10972,M4 Sport,televízió,0
10999,M5,televízió,0
11005,Spíler TV,televízió,0
20048,Trend FM (Gazdasági Rádió) (94.2),rádió,1
20053,Gong FM (Gong Rádió) (96.5),rádió,1
20062,Infó Rádió (88.1),rádió,1
20066,Sláger FM (Juventus Rádió) (103.9),rádió,1
20080,Klubrádió (92.9),rádió,1
20090,Lánchíd Rádió (Lánchíd Rádió Budapest) (100.3),rádió,1
20095,Parlamenti Rádió (MR 5) (n.a),rádió,1
20096,Kossuth Rádió (mr1-Kossuth ) (n.a),rádió,1
20097,Petőfi Rádió (mr2-Petőfi) (n.a),rádió,1
20098,Bartók Rádió (mr3-Bartók) (n.a),rádió,1
20101,Rádió 1 (Nap Rádió ) (94.1),rádió,1
20210,Vörösmarty Rádió (99.2),rádió,1
20236,Best FM (Metro FM) (104.6),rádió,1
20237,Nemzetiségi Rádió (MR4) (n.a),rádió,1
20297,Lánchíd Rádió (96.2),rádió,1
20299,Lánchíd Rádió (88.1),rádió,1
20301,Lánchíd Rádió (106.6),rádió,1
20320,"Rádió M (POP FM 101.6) (101.6, 95.9, 99.5)",rádió,1
20330,"Lánchíd Rádió (88.3, 93.4)",rádió,1
20338,Music FM (89.5),rádió,1
20365,Lánchíd Rádió (99.1),rádió,1
20369,Dankó Pista Rádió (n.a.),rádió,1
20370,Lánchíd Rádió (94.6),rádió,1
20371,Lánchíd Rádió (107.0),rádió,1
20380,Rádió Most Kaposvár (91.2),rádió,1
20399,Rádió 1 (Debrecen Rádió FM95) (95.0),rádió,1
20412,Lánchíd Rádió (97.5),rádió,1
20413,Lánchíd Rádió (98.9),rádió,1
20418,Lánchíd Rádió (100.2),rádió,1
20419,Lánchíd Rádió (97.1),rádió,1
20420,Lánchíd Rádió (88.6),rádió,1
20426,Gong FM (87.6),rádió,1
20429,Rádió M (89.6),rádió,1
20430,Gong FM (93.6),rádió,1
20431,Gong FM (97.2),rádió,1
20432,Gong FM (99.6),rádió,1
20433,Gong FM (94.1),rádió,1
20434,Gong FM (88.7),rádió,1
20435,Duna World Radio (n.a),rádió,1
20452,Karc FM (105.9),rádió,1
20455,Rádió 1 (DJ FM) (96.4),rádió,1
30010,168 óra,sajtó,1
30013,3. évezred,sajtó,0
30107,Tanító,sajtó,0
30154,Adó ...,sajtó,0
30199,Réka Alakreform,sajtó,0
30222,Álompár,sajtó,0
30278,Auto Bild Magyarország,sajtó,0
