Cég ID,Cégnév,Alakulás dátuma,Bejegyzés dátuma,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
91722,Magyar RTL Televízió Zártkörűen Működő Részvénytársaság,04/08/1997,07/11/1997,,,,,,,,Bertelsmann,Bertelsmann,Bertelsmann,Bertelsmann,Bertelsmann,Bertelsmann,Bertelsmann,Bertelsmann,Bertelsmann,Bertelsmann,Bertelsmann,Bertelsmann,Bertelsmann,Bertelsmann,Bertelsmann,Bertelsmann,Bertelsmann,Bertelsmann,Bertelsmann,Bertelsmann,Bertelsmann,Bertelsmann
99037,TV2 Média Csoport Korlátolt Felelősségű Társaság,12/17/2013,12/17/2013,,,,,,,,,,,,,,,,,,,,,,,,,"Simon Zsolt, Yvonne Dederick","Simon Zsolt, Yvonne Dederick","Simon Zsolt, Yvonne Dederick",Andy Vajna,Andy Vajna
98662,AMC Networks Central Europe Korlátolt Felelősségű Társaság,12/06/2013,01/31/2014,,,,,,,,,,,,,,,,,,,,,,,,,AMC,AMC,AMC,AMC,AMC
96380,RTL Holding Korlátolt Felelősségű Társaság,12/21/2010,12/29/2010,,,,,,,,,,,,,,,,,,,,,,"Medialog, Rákosi Tamás",Bertelsmann,Bertelsmann,Bertelsmann,Bertelsmann,Bertelsmann,Bertelsmann,Bertelsmann
100016,Central Médiacsoport Zártkörűen Működő Részvénytársaság (2015.q2-től),10/30/2014,02/24/2015,,,,,,,,,,,,,,,,,,,,,,Varga Zoltán,Varga Zoltán,Varga Zoltán,Varga Zoltán,Varga Zoltán,Varga Zoltán,Varga Zoltán,Varga Zoltán
99425,Mediaworks Hungary Zártkörűen Működő Részvénytársaság,11/26/2013,12/03/2013,,,,,,,,,,,,,,,,,,,,,,,,,Heinrich Pecina,Heinrich Pecina,Heinrich Pecina,Heinrich Pecina,Mészáros Lőrinc
97602,Viacom Global Hungary Korlátolt Felelősségű Társaság,05/17/2010,05/19/2010,,,,,,,,,,,,,,,,,,,,,,Viacom,Viacom,Viacom,Viacom,Viacom,Viacom,Viacom,Viacom
91092,Lapcom Kiadó Zártkörűen Működő Részvénytársaság,11/05/1999,02/03/2000,,,,,,,,,,,,Offshore,Offshore,Offshore,Offshore,Offshore,Offshore,Offshore,Offshore,Offshore,Offshore,Offshore,Offshore,Offshore,Offshore,Offshore,Offshore,Offshore,Andy Vajna
92258,Pannon Lapok Társasága Kiadói Korlátolt Felelősségű Társaság,05/11/1992,06/24/1992,,,,K und K Mediengruppe,K und K Mediengruppe,K und K Mediengruppe,K und K Mediengruppe,K und K Mediengruppe,K und K Mediengruppe,K und K Mediengruppe,K und K Mediengruppe,K und K Mediengruppe,K und K Mediengruppe,K und K Mediengruppe,K und K Mediengruppe,K und K Mediengruppe,K und K Mediengruppe,K und K Mediengruppe,K und K Mediengruppe,K und K Mediengruppe,FUNKE,FUNKE,FUNKE,FUNKE,FUNKE,FUNKE,FUNKE,Heinrich Pecina,Mészáros Lőrinc
92000,MTM-SBS Televízió Zártkörűen Működő Részvénytársaság,07/12/1996,09/23/1996,,,,,,,,SBS Broadcasting,SBS Broadcasting,SBS Broadcasting,SBS Broadcasting,SBS Broadcasting,SBS Broadcasting,SBS Broadcasting,SBS Broadcasting,SBS Broadcasting,SBS Broadcasting,SBS Broadcasting,Pro7Sat1,Pro7Sat1,Pro7Sat1,Pro7Sat1,Pro7Sat1,Pro7Sat1,,,,,
91548,Lapcom Lapkiadó és Nyomdaipari Korlátolt Felelősségü Társaság,09/30/1996,01/24/1997,,,,,,,,,K und K Mediengruppe,K und K Mediengruppe,K und K Mediengruppe,K und K Mediengruppe,K und K Mediengruppe,K und K Mediengruppe,K und K Mediengruppe,K und K Mediengruppe,K und K Mediengruppe,K und K Mediengruppe,K und K Mediengruppe,K und K Mediengruppe,FUNKE,FUNKE,FUNKE,FUNKE,FUNKE,FUNKE,FUNKE,Heinrich Pecina,Mészáros Lőrinc
90180,Ringier Axel Springer Magyarország Korlátolt Felelősségű Társaság,02/24/1989,08/08/1990,"Axel Springer Verlag, Bayer József","Axel Springer Verlag, Bayer József","Axel Springer Verlag, Bayer József","Axel Springer Verlag, Bayer József","Axel Springer Verlag, Bayer József","Axel Springer Verlag, Bayer József","Axel Springer Verlag, Bayer József","Axel Springer Verlag, Bayer József","Axel Springer Verlag, Bayer József","Axel Springer Verlag, Bayer József","Axel Springer Verlag, Bayer József","Axel Springer Verlag, Bayer József","Axel Springer Verlag, Bayer József","Axel Springer Verlag, Bayer József","Axel Springer Verlag, Bayer József","Axel Springer Verlag, Bayer József","Axel Springer Verlag, Bayer József","Axel Springer Verlag, Bayer József","Axel Springer Verlag, Bayer József","Axel Springer Verlag, Bayer József","Axel Springer Verlag, Bayer József","Axel Springer Verlag, Bayer József","Axel Springer Verlag, Bayer József","Axel Springer Verlag, Bayer József","Axel Springer Verlag, Bayer József","Axel Springer Verlag, Bayer József","Axel Springer Verlag, Bayer József",Ringier Axel Springer,
90727,JCDecaux Hungary Zártkörűen Működő Részvénytársaság,11/05/2004,01/31/2005,,,,,,,,,,,,,,,,,Csányi Sándor,Csányi Sándor,Csányi Sándor,Epamedia,Epamedia,Epamedia,Epamedia,Epamedia,JCDecaux,JCDecaux,JCDecaux,JCDecaux,JCDecaux
98903,Blikk Korlátolt Felelősségű Társaság,04/30/2014,04/01/2014,,,,,,,,,,,,,,,,,,,,,,,,,,Ringier,Ringier Axel Springer,Ringier Axel Springer,Ringier Axel Springer
92176,New Wave Media Group Média és Kommunikációs Szolgáltató Zártkörűen Működő Részvénytársaság,07/06/2000,09/01/2000,,,,,,,,,,,,Deutsche Telekom,Deutsche Telekom,Deutsche Telekom,Deutsche Telekom,Deutsche Telekom,Deutsche Telekom,Deutsche Telekom,Deutsche Telekom,Deutsche Telekom,Deutsche Telekom,Deutsche Telekom,Deutsche Telekom,Deutsche Telekom,Deutsche Telekom,Deutsche Telekom,Deutsche Telekom,Deutsche Telekom,Matolcsy Ádám
93346,"Russmedia Lapkiadó, Információs és Kulturális",11/05/2002,11/19/2002,,,,,,,,,,,,,,CVO Holding,CVO Holding,Russmedia,Russmedia,Russmedia,Russmedia,Russmedia,Russmedia,Russmedia,Russmedia,Russmedia,Russmedia,Russmedia,Russmedia,Russmedia,Heinrich Pecina
92418,Publimont Hirdetésszervező Korlátolt Felelősségű Társaság,05/05/1989,08/30/1989,,Europlakat Gmbh,Europlakat Gmbh,Europlakat Gmbh,Europlakat Gmbh,Europlakat Gmbh,"Europlakat Gmbh, Simicska Lajos",Europlakat Gmbh,Europlakat Gmbh,Europlakat Gmbh,Europlakat Gmbh,Europlakat Gmbh,Europlakat Gmbh,Europlakat Gmbh,Europlakat Gmbh,Europlakat Gmbh,Europlakat Gmbh,Europlakat Gmbh,Europlakat Gmbh,Europlakat,Simicska Lajos,Simicska Lajos,"Simicska Lajos, Liszkay Gábor","Simicska Lajos, Liszkay Gábor","Simicska Lajos, Liszkay Gábor",Simicska Lajos,Simicska Lajos,Simicska Lajos,Simicska Lajos
92564,Media Records Zártkörűen Működő Részvénytársaság,07/20/2001,11/28/2001,,,,,,,,,,,,,Sanoma,Sanoma,Sanoma,Sanoma,Sanoma,Sanoma,Sanoma,Sanoma,Sanoma,Sanoma,Sanoma,Sanoma,Sanoma,Varga Zoltán,Varga Zoltán,Varga Zoltán,Varga Zoltán
93546,Heti Világgazdaság Kiadói Zártkörűen Működő Részvénytársaság,01/24/1989,02/28/1989,,,,,,,,,,,,,,,,,,FUNKE,FUNKE,FUNKE,FUNKE,FUNKE,FUNKE,FUNKE,FUNKE,FUNKE,Szauer Péter,Szauer Péter,Szauer Péter
99223,Central Digitális Média Korlátolt Felelősségű Társaság,10/30/2014,02/24/2015,,,,,,,,,,,,,,,,,,,,,,,,,,Varga Zoltán,Varga Zoltán,Varga Zoltán,Varga Zoltán
90057,Advenio Műsorszolgáltató Zártkörűen Működő Részvénytársaság,09/04/2009,09/07/2009,,,,,,,,,,,,,,,,,,,,,"Simicska Lajos, Nyerges Zsolt","Simicska Lajos, Nyerges Zsolt","Simicska Lajos, Nyerges Zsolt","Simicska Lajos, Nyerges Zsolt","Simicska Lajos, Nyerges Zsolt",Simicska Lajos,Simicska Lajos,Simicska Lajos,
92518,Mediaworks Kiadó és Nyomda Korlátolt Felelősségű Társaság,03/01/1993,05/03/1993,,,,,Ringier,Ringier,Ringier,Ringier,Ringier,Ringier,Ringier,Ringier,Ringier,Ringier,Ringier,Ringier,Ringier,Ringier,Ringier,Ringier,Ringier,Ringier,Ringier,Ringier,Ringier,Heinrich Pecina,Heinrich Pecina,Mészáros Lőrinc,Mészáros Lőrinc
96994,Pannon Napilapok Betéti Társaság,10/14/2011,12/20/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91112,HírTV Műsorszolgáltató és Hirdetésszervező Zártkörűen Működő Részvénytársaság,06/25/2002,10/08/2002,,,,,,,,,,,,,,Simicska Lajos,Simicska Lajos,Simicska Lajos,Simicska Lajos,Simicska Lajos,Simicska Lajos,Simicska Lajos,Simicska Lajos,Simicska Lajos,Simicska Lajos,Simicska Lajos,Simicska Lajos,Simicska Lajos,Simicska Lajos,Simicska Lajos,Simicska Lajos
92565,Digital Media and Communications Közép-európai Kommunikációs Zártkörűen Működő Részvénytársaság,06/28/2005,08/01/2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92066,Magyar Idők Kiadó Korlátolt Felelősségű Társaság,06/29/1992,11/30/1993,,,,,,,,,,,,,,,,,,,,,,Spéder Zoltán,Spéder Zoltán,Spéder Zoltán,Heim Péter,Heim Péter,Liszkay Gábor,Liszkay Gábor,Liszkay Gábor
90167,ATV Első Magyar Magántelevíziós Zártkörűen Működő Részvénytársaság,04/01/1998,09/21/1998,,,,,,,,,,,Németh Sándor,Németh Sándor,Németh Sándor,Németh Sándor,Németh Sándor,Németh Sándor,Németh Sándor,Németh Sándor,Németh Sándor,Németh Sándor,Németh Sándor,Németh Sándor,Németh Sándor,Németh Sándor,Németh Sándor,Németh Sándor,Németh Sándor,Németh Sándor,Németh Sándor
91813,Marquard Média Magyarország Kiadó Korlátolt Felelősségű Társaság,03/20/1990,07/23/1990,,,,,,,,Marquard,Marquard,Marquard,Marquard,Marquard,Marquard,Marquard,Marquard,Marquard,Marquard,Marquard,Marquard,Marquard,Marquard,Marquard,Marquard,Marquard,Marquard,Marquard,Marquard,Marquard,Marquard
98205,AXN Magyaroszág Szolgáltató Korlátolt Felelősségű Társaság,08/08/2003,11/27/2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99392,Modern Media Group Befektetési és Vagyonkezelő Zártkörűen Működő Részvénytársaság,04/09/2015,04/16/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,"Habony Árpád, Győri Tibor","Habony Árpád, Győri Tibor","Habony Árpád, Győri Tibor"
93152,Z+ Műsorszolgáltató Zártkörűen Működő Résztvénytársaság,05/27/1997,02/26/1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
