Cég ID,Cégnév,Nettó árbevétel 1998 (Ezer Ft),Adózott eredmény 1998 (Ezer Ft),Üzemi eredmény 1998 (Ezer Ft),Nettó árbevétel 1999 (Ezer Ft),Adózott eredmény 1999 (Ezer Ft),Üzemi eredmény 1999 (Ezer Ft),Nettó árbevétel 2000 (Ezer Ft),Adózott eredmény 2000 (Ezer Ft),Üzemi eredmény 2000 (Ezer Ft),Nettó árbevétel 2001 (Ezer Ft),Adózott eredmény 2001 (Ezer Ft),Üzemi eredmény 2001 (Ezer Ft),Nettó árbevétel 2002 (Ezer Ft),Adózott eredmény 2002 (Ezer Ft),Üzemi eredmény 2002 (Ezer Ft),Nettó árbevétel 2003 (Ezer Ft),Adózott eredmény 2003 (Ezer Ft),Üzemi eredmény 2003 (Ezer Ft),Nettó árbevétel 2004 (Ezer Ft),Adózott eredmény 2004 (Ezer Ft),Üzemi eredmény 2004 (Ezer Ft),Nettó árbevétel 2005 (Ezer Ft),Adózott eredmény 2005 (Ezer Ft),Üzemi eredmény 2005 (Ezer Ft),Nettó árbevétel 2006 (Ezer Ft),Adózott eredmény 2006 (Ezer Ft),Üzemi eredmény 2006 (Ezer Ft),Nettó árbevétel 2007 (Ezer Ft),Adózott eredmény 2007 (Ezer Ft),Üzemi eredmény 2007 (Ezer Ft),Nettó árbevétel 2008 (Ezer Ft),Adózott eredmény 2008 (Ezer Ft),Üzemi eredmény 2008 (Ezer Ft),Nettó árbevétel 2009 (Ezer Ft),Adózott eredmény 2009 (Ezer Ft),Üzemi eredmény 2009 (Ezer Ft)
90043,Absolut Media Szolgáltató és Kereskedelmi Korlátolt Felelősségű Társaság,0,-231,-231,6986,6,-12,8758,15,-13,7672,2057,2329,3763,-2337,-2345,27814,-10836,-10840,103759,-28123,-28132,163771,3435,3523,195937,-44817,-44172,,,,322808,1103,1494,215924,1533,-121812
90054,ADOC-SEMIC Kiadói és Nyomdai Kft.,,,,769419,-123803,-108284,,,,695505,-89231,-87946,767487,32264,-138438,809665,0,-94107,1062702,-51012,-61978,1061411,-61286,-54763,1161418,-2168,-35229,1261986,19913,-49694,1308507,5951,37968,850634,-111552,-89213
90057,Advenio Műsorszolgáltató Zártkörűen Működő Részvénytársaság,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90030,-269899,-257640
90167,Agro TV-ATV Zrt.,,,,36687,-53957,-52162,,,,,,,295512,4987,-20617,376293,291940,-95546,463845,22933,-19526,666216,60220,59006,1398659,10819,9212,1736213,22787,82,2209585,42190,43838,2145888,47555,72106
199001,ALFA Televízió Korlátolt Felelősségű Társaság,7551,-9646,-9389,7672,-22107,-13828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199002,ALFÖLDI HIRDETÉSI LAPOK Lapkiadó és Hírlapkereskedelmi Korlátolt Felelősségű Társaság,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90156,Artamondó Kft.,0,0,-40,4176,-412,-418,3046,-227,-227,4046,0,114,25404,2349,2727,179100,-9447,-9158,334763,30314,30413,529697,-64,-108,537697,-5,-482,397500,7537,10444,339407,38029,25585,319524,6524,14420
90171,Autó News Kft.,248349,33167,38335,254660,25122,25627,265572,32558,36237,,,,255200,21183,22493,292210,21781,22329,220812,-8358,-13377,252149,3552,2326,272335,13617,15138,291559,29182,34069,244385,-13949,-16181,127504,-53597,-54493
90181,Axel Springer- Magyarország Korlátolt Felelősségű Társaság,,,,,,,,,,6619093,942902,527524,7629922,1142565,828192,7944433,1222942,788193,9155769,829606,213877,10123260,349110,-114246,9825331,1269077,700936,10421906,1423523,950724,10791639,1376720,592307,9420821,726788,261198
90180,AXEL SPRINGER-BUDAPEST KIADÓI Kft,,,,7735154,228719,298241,,,,,,,8885833,789405,956861,9856295,835811,892962,10358059,645765,712482,10569311,353996,356560,8924558,923104,1072087,9798331,980310,1167684,10089616,1000250,1196980,8459563,698424,844036
