,Időszak:,,2010. IV. név,,,,,,,,,,
Médium ID,Médium márkaneve,Üzemeltető_ID,Üzemeltető_név,Vegtulaj_1_ID,Vegtulaj_1,Vegtulaj_2_ID,Vegtulaj_2,Vegtulaj_3_ID,Vegtulaj_3,Vegtulaj_4_ID,Vegtulaj_4,Vegtulaj_5_ID,Vegtulaj_5
10003,STORY 4,92565,SANOMA DIGITAL MEDIA Közép-európai Kommunikációs Zártkörűen Működő Részvénytársaság,1170,Sanoma Budapest Kiadói Zrt.,,,,,,,,
10018,Alföld Televízió,999999,Egyéb üzemeltető,,,,,,,,,,
10020,Animal Planet ,98206,Discovery Hungary Média Szolgáltató Korlátolt Felelősségű Társaság,1042,Discovery Polska Sp. z.o.o.,,,,,,,,
10026,Duna World (Duna II Autonómia),90621,Duna Televízió Nonprofit Zártkörűen Működő Részvénytársaság,1090,Hungária Televízió Közalapítvány,,,,,,,,
10029,AXN,98205,AXN Magyaroszág Szolgáltató Korlátolt Felelősségű Társaság,1012,AXN Central Europe LLC,,,,,,,,
10040,Bajai Televízió,90206,Baja Marketing Bajai Kommunikációs és Marketing Korlátolt Felelősségű Társaság,1013,Baja Önkormányzata,,,,,,,,
10061,Bestof TV2,92000,MTM-SBS Televízió Zártkörűen Működő Részvénytársaság,1436,VT2 Media Holding B.V.,1175,SBS Broadcasting Europe B.V.,1037,Danube Broadcasting B.V.,1147,PKS Medina ( Netherlands ) B. V.,,
10107,Comedy Central,90439,COMEDY CENTRAL MAGYARORSZÁG Zártkörűen Működő Részvénytársaság,1134,MTV Networks Productions B.V.,1094,Invisions Holding BV.,1500,Viacom Global ( Netherlands ) B. V.,,,,
10123,d1 tv,90598,Domino TV Műsorszolgáltató Zártkörűen Működő Részvénytársaság,1006,Aradi Péter,1484,Szilczer Krisztina,1485,Szilczer Attila,1483,Szilczer András,1486,Szilczer Attiláné
10128,Debrecen Televízió,90518,Debrecen Városi Televízió Korlátolt Felelősségű Társaság,1425,Debrecen Önkormányzata,,,,,,,,
10130,Spektrum Home (Deko Televízió),92968,TV Paprika Műsorszolgáltató Zártkörűen Működő Részvénytársaság,1001,Chellomedia CE Holding Zrt.,1031,CHELLOMEDIA CEE HOLDCO B.V.,,,,,,
10142,Discovery Channel,98206,Discovery Hungary Média Szolgáltató Korlátolt Felelősségű Társaság,1042,Discovery Polska Sp. z.o.o.,,,,,,,,
10151,DoQ,999999,Egyéb üzemeltető,,,,,,,,,,
10155,Duna TV ,90621,Duna Televízió Nonprofit Zártkörűen Működő Részvénytársaság,1090,Hungária Televízió Közalapítvány,,,,,,,,
10170,Echo TV,90648,"Echo Hungária TV Televíziózási, Kommunikációs és Szolgáltató Zártkörű Részvénytársaság",1207,Vasvári Csaba,1417,Széles Gábor,1418,Széles Gáborné,1419,Széles Kinga,1420,Széles Anna
10185,Erzsébetvárosi Televízió (Erzsébetvárosi TV),90759,Erzsébetvárosi Média Nonprofit Korlátolt Felelősségű Társaság,1026,Budapest VII. kerület Önkormányzata,,,,,,,,
10226,Fehérvár Televízió,90828,Fehérvár Médiacentrum Korlátolt Felelősségű Társaság,1187,Székesfehérvár Önkormányzata,,,,,,,,
10235,Film Mánia (Filmmúzeum ),90866,Filmmúzeum Műsorszolgáltató Zártkörűen Működő Részvénytársaság,1001,Chellomedia CE Holding Zrt.,1031,CHELLOMEDIA CEE HOLDCO B.V.,,,,,,
10273,Hálózat,91029,Hálózatos Televíziók Zártkörűen Működő Részvénytársaság,,,,,,,,,,
10297,Hír TV,91112,HírTV Műsorszolgáltató és Hirdetésszervező Zártkörűen Működő Részvénytársaság,1202,Töröcskei István,248035,PRO-AURUM Vagyonkezelő Zrt.,,,,,,
10403,Life Network,92176,Origo Média és Kommunikációs Szolgáltató Zártkörűen Működő Részvénytársaság,245759,Magyar Telekom Távközlési Nyrt.,,,,,,,,
10412,M1,91738,Magyar Televízió Nonprofit Zártkörűen Működő Részvénytársaság,1111,Közszolgálati Közalapítvány,,,,,,,,
10414,M2,91738,Magyar Televízió Nonprofit Zártkörűen Működő Részvénytársaság,1111,Közszolgálati Közalapítvány,,,,,,,,
10416,Magyar ATV,90167,ATV Első Magyar Magántelevíziós Zártkörűen Működő Részvénytársaság,1376,HIT ÉS ERKÖLCS KULTURÁLIS ALAP,1377,HIT GYÜLEKEZETE,1378,X & A Marketing and Holding Limited,,,,
10434,Minimax,999999,Egyéb üzemeltető,,,,,,,,,,
10435,Miskolc Városi Televizió,91920,MIKOM Miskolci Kommunikációs Nonprofit Korlátolt Felelősségű Társaság,1498,Miskolc Önkormányzata,,,,,,,,
10450,MTV (MTV Hungary),97602,Viacom Global Hungary Korlátolt Felelősségű Társaság,1134,MTV Networks Productions B.V.,1094,Invisions Holding BV.,1500,Viacom Global ( Netherlands ) B. V.,,,,
10459,Muzsika TV,999999,Egyéb üzemeltető,,,,,,,,,,
10477,Nickelodeon ,97602,Viacom Global Hungary Korlátolt Felelősségű Társaság,1134,MTV Networks Productions B.V.,1094,Invisions Holding BV.,1500,Viacom Global ( Netherlands ) B. V.,,,,
10487,Nyíregyházi Városi Televizió,93039,VÁROS-KÉP Szolgáltató Nonprofit Korlátolt Felelősségű Társaság,1140,Nyíregyháza Önkormányzata,,,,,,,,
10498,Oroszlányi TV,92180,Oroszlányi Televízió Korlátolt Felelősségű Társaság,1028,Bury Pravotinszky István,1116,Lovas István,1079,Geyer Sándor,,,,
10500,Ozone Network,92176,Origo Média és Kommunikációs Szolgáltató Zártkörűen Működő Részvénytársaság,245759,Magyar Telekom Távközlési Nyrt.,,,,,,,,
10512,Pax TV,92287,Pax Televízió Műsorszolgáltató Zártkörűen Működő Részvénytársaság,1071,Ferenczy Károly,,,,,,,,
10514,Pécs TV,999999,Egyéb üzemeltető,,,,,,,,,,
10551,Győr+TV (REVITA TV GYŐR),92510,REVITA TELEVÍZIÓ GYŐR MűSORSZOLGÁLTATÓ Zártkörűen Működő Részvénytarsaság,1340,Szabó István József,1341,Galló Ádám,1343,Bognár Pál,1344,Rácz Albert,1342,Galló Zoltán Szabolcs
10556,RTL Klub,91722,Magyar RTL Televízió Zártkörűen Működő Részvénytársaság,1323,S.I.G. Kapital SA,1032,CLT UFA S. A,,,,,,
10588,Spektrum TV,92637,Spektrum-TV Közép-Európai Műsorkészítő Zártkörűen Működő Részvénytársaság,1031,CHELLOMEDIA CEE HOLDCO B.V.,,,,,,,,
10592,SPORT M,90417,Chello Central Europe Műsorszolgáltató Zártkörűen Működő Részvénytársaság,1031,Chellomedia CEE Holdco B.V.,,,,,,,,
10593,Sport1,90417,Chello Central Europe Műsorszolgáltató Zártkörűen Működő Részvénytársaság,1031,Chellomedia CEE Holdco B.V.,,,,,,,,
10594,Sport2,90417,Chello Central Europe Műsorszolgáltató Zártkörűen Működő Részvénytársaság,1031,Chellomedia CEE Holdco B.V.,,,,,,,,
10616,Szentgotthárd Városi Televízió,92754,Szentgotthárd Városi Televízió és Kábelüzemeltető Nonprofit Korlátolt Felelősségű Társaság,1504,Török Péter,1505,Habozy László,1506,Barkóczi István Gábor,1507,Dékány István,,
10653,The Fishing and Hunting Channel,999999,Egyéb üzemeltető,,,,,,,,,,
10658,TiszapART TV,91824,MATT-2004 Szolgáltató Korlátolt Felelősségű Társaság,1135,Nagy Abonyi Attila,1103,Kenyeres Gyula,1124,Maros József,,,,
10687,TV Paprika,92968,TV Paprika Műsorszolgáltató Zártkörűen Működő Részvénytársaság,1001,Chellomedia CE Holding Zrt.,1031,CHELLOMEDIA CEE HOLDCO B.V.,,,,,,
10697,TV2,92000,MTM-SBS Televízió Zártkörűen Működő Részvénytársaság,1436,VT2 Media Holding B.V.,1175,SBS Broadcasting Europe B.V.,1037,Danube Broadcasting B.V.,1147,PKS Medina ( Netherlands ) B. V.,,
10700,Viasat6,98204,Viasat Hungária Szolgáltató Zártkörűen Működő Részvénytársaság,1133,MTG Broadcasting AB,,,,,,,,
10705,Újbuda TV,91842,Média 11. Tömegkommunikációs és Szolgáltató Korlátolt Felelősségű Társaság,1027,Budapest XI. kerület Önkormányzata,,,,,,,,
10706,Újpesti Közösségi Televízió (Újpesti Közéleti Televízió),92990,Újpesti Sajtó Szolgáltató Nonprofit Korlátolt Felelősségű Társaság,1025,Budapest IV. kerület Önkormányzata,,,,,,,,
10727,Városi Televízió Szeged,999999,Egyéb üzemeltető,,,,,,,,,,
10742,Viasat3,98204,Viasat Hungária Szolgáltató Zártkörűen Működő Részvénytársaság,1133,MTG Broadcasting AB,,,,,,,,
10747,Vitál TV,90648,"Echo Hungária TV Televíziózási, Kommunikációs és Szolgáltató Zártkörű Részvénytársaság",1207,Vasvári Csaba,1417,Széles Gábor,1418,Széles Gáborné,1419,Széles Kinga,1420,Széles Anna
10748,VIVA,97602,Viacom Global Hungary Korlátolt Felelősségű Társaság,1134,MTV Networks Productions B.V.,1094,Invisions Holding BV.,1500,Viacom Global ( Netherlands ) B. V.,,,,
10948,Paramount Channel Hungary,97602,Viacom Global Hungary Korlátolt Felelősségű Társaság,1134,MTV Networks Productions B.V.,1094,Invisions Holding BV.,1500,Viacom Global ( Netherlands ) B. V.,,,,
20020,Class FM (),90057,Advenio Műsorszolgáltató Zártkörűen Működő Részvénytársaság,1051,dr. Nyerges Zsolt,,,,,,,,
20048,Trend FM (Gazdasági Rádió) (94.2),92015,MŰSOR-HANG Műsorszolgáltató Zártkörűen Működő Részvénytársaság,1503,dr. Móré Attila,246252,PHYLAXIA 1912. Holding Nyrt.,1434,Seres István,1435,Kecskés Lászlóné,,
20049,Gazdasági Rádió (100.7),92015,MŰSOR-HANG Műsorszolgáltató Zártkörűen Működő Részvénytársaság,1503,dr. Móré Attila,246252,PHYLAXIA 1912. Holding Nyrt.,1434,Seres István,1435,Kecskés Lászlóné,,
20050,Gazdasági Rádió (95.7),92015,MŰSOR-HANG Műsorszolgáltató Zártkörűen Működő Részvénytársaság,1503,dr. Móré Attila,246252,PHYLAXIA 1912. Holding Nyrt.,1434,Seres István,1435,Kecskés Lászlóné,,
20053,Gong FM (Gong Rádió) (96.5),90955,"GONG RÁDIÓ Információs, Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság",1020,Birizdó Károly,1144,Palásti József,1097,Kalmár László,,,,
20062,Infó Rádió (88.1),91186,Inforádió Műsorszolgáltató Korlátolt Felelősségű Társaság,1324,Whitestone International Ltd.,,,,,,,,
