,Időszak:,,2014. IV. név,,,,,,,,,,,,,,,,
Médium ID,Médium márkaneve,Üzemeltető_ID,Üzemeltető_név,Vegtulaj_1_ID,Vegtulaj_1,Vegtulaj_2_ID,Vegtulaj_2,Vegtulaj_3_ID,Vegtulaj_3,Vegtulaj_4_ID,Vegtulaj_4,Vegtulaj_5_ID,Vegtulaj_5,Vegtulaj_6_ID,Vegtulaj_6,Vegtulaj_7_ID,Vegtulaj_7,Vegtulaj_8_ID,Vegtulaj_8
10003,STORY 4,92565,Digital Media and Communications Közép-európai Kommunikációs Zártkörűen Működő Részvénytársaság,1360,Tóth Béla József,,,,,,,,,,,,,,
10018,Alföld Televízió,96449,Alföld Kamera Debrecen Szolgáltató Korlátolt Felelősségű Társaság,1315,dr. Tóth Lajosné,1423,Tutor Szabina Hanna,,,,,,,,,,,,
10020,Animal Planet ,98206,Discovery Hungary Média Szolgáltató Korlátolt Felelősségű Társaság,1042,Discovery Polska Sp. z.o.o.,,,,,,,,,,,,,,
10026,Duna World (Duna II Autonómia),90621,Duna Televízió Nonprofit Zártkörűen Működő Részvénytársaság,1111,Közszolgálati Közalapítvány,,,,,,,,,,,,,,
10029,AXN,98205,AXN Magyaroszág Szolgáltató Korlátolt Felelősségű Társaság,1012,AXN Central Europe LLC,,,,,,,,,,,,,,
10040,Bajai Televízió,90206,Baja Marketing Bajai Kommunikációs és Marketing Korlátolt Felelősségű Társaság,1217,Zsigó Róbert,1013,Baja Önkormányzata,,,,,,,,,,,,
10107,Comedy Central,97602,Viacom Global Hungary Korlátolt Felelősségű Társaság,1500,Viacom Global ( Netherlands ) B. V.,1094,Invisions Holding BV.,1134,MTV Networks Productions B.V.,,,,,,,,,,
10123,d1 tv,90598,Domino TV Műsorszolgáltató Zártkörűen Működő Részvénytársaság,1007,Aradi-Beöthy Péter,1069,Fazekas Katalin,1484,Szilczer Krisztina,1485,Szilczer Attila,1483,Szilczer András,1486,Szilczer Attiláné,,,,
10128,Debrecen Televízió,90518,Debrecen Városi Televízió Korlátolt Felelősségű Társaság,1425,Debrecen Önkormányzata,,,,,,,,,,,,,,
10130,Spektrum Home (Deko Televízió),98662,AMC Networks Central Europe Korlátolt Felelősségű Társaság,1004,AMC Central Europe Holdings B.V.,,,,,,,,,,,,,,
10142,Discovery Channel,98206,Discovery Hungary Média Szolgáltató Korlátolt Felelősségű Társaság,1042,Discovery Polska Sp. z.o.o.,,,,,,,,,,,,,,
10151,DoQ,999999,Egyéb üzemeltető,,,,,,,,,,,,,,,,
10155,Duna TV ,90621,Duna Televízió Nonprofit Zártkörűen Működő Részvénytársaság,1111,Közszolgálati Közalapítvány,,,,,,,,,,,,,,
10170,Echo TV,90648,"Echo Hungária TV Televíziózási, Kommunikációs és Szolgáltató Zártkörű Részvénytársaság",1207,Vasvári Csaba,1417,Széles Gábor,1418,Széles Gáborné,1419,Széles Kinga,1420,Széles Anna,,,,,,
10185,Erzsébetvárosi Televízió (Erzsébetvárosi TV),90759,Erzsébetvárosi Média Nonprofit Korlátolt Felelősségű Társaság,1026,Budapest VII. kerület Önkormányzata,,,,,,,,,,,,,,
10226,Fehérvár Televízió,90828,Fehérvár Médiacentrum Korlátolt Felelősségű Társaság,1187,Székesfehérvár Önkormányzata,,,,,,,,,,,,,,
10235,Film Mánia (Filmmúzeum ),98662,AMC Networks Central Europe Korlátolt Felelősségű Társaság,1004,AMC Central Europe Holdings B.V.,,,,,,,,,,,,,,
10297,Hír TV,91112,HírTV Műsorszolgáltató és Hirdetésszervező Zártkörűen Működő Részvénytársaság,,,,,,,,,,,,,,,,
10403,Life Network,92176,Origo Média és Kommunikációs Szolgáltató Zártkörűen Működő Részvénytársaság,245759,Magyar Telekom Távközlési Nyrt.,,,,,,,,,,,,,,
10412,M1,91738,Magyar Televízió Nonprofit Zártkörűen Működő Részvénytársaság,1111,Közszolgálati Közalapítvány,,,,,,,,,,,,,,
10414,M2,91738,Magyar Televízió Nonprofit Zártkörűen Működő Részvénytársaság,1111,Közszolgálati Közalapítvány,,,,,,,,,,,,,,
10416,Magyar ATV,90167,ATV Első Magyar Magántelevíziós Zártkörűen Működő Részvénytársaság,1376,HIT ÉS ERKÖLCS KULTURÁLIS ALAP,1377,HIT GYÜLEKEZETE,1378,X & A Marketing and Holding Limited,,,,,,,,,,
10434,Minimax,98662,AMC Networks Central Europe Korlátolt Felelősségű Társaság,1004,AMC Central Europe Holdings B.V.,,,,,,,,,,,,,,
10435,Miskolc Városi Televizió,91920,MIKOM Miskolci Kommunikációs Nonprofit Korlátolt Felelősségű Társaság,1498,Miskolc Önkormányzata,,,,,,,,,,,,,,
