Medium_ID,Medium_nev,Médiatípus,Hír=1; nem hír=0
19901,Alfa TV47,televízió,0
10020,Animal Planet,televízió,0
10022,Animax (A+),televízió,0
10416,ATV,televízió,1
10029,AXN,televízió,0
19902,Budapest TV,televízió,1
10107,Comedy Central,televízió,0
19903,Cool TV (m+),televízió,0
10123,D1 TV,televízió,0
10142,Discovery Channel,televízió,0
10151,DoQ,televízió,0
10155,Duna,televízió,1
10026,Duna World,televízió,1
10170,Echo TV,televízió,1
10235,Film Mánia,televízió,0
10230,Film+,televízió,0
10653,The Fishing and Hunting Channel,televízió,0
10249,Fix,televízió,0
10001,Főnix TV,televízió,1
10273,Hálózat TV,televízió,0
10297,Hír Tv,televízió,1
10313,Info24,televízió,1
19904,Írisz TV,televízió,0
10403,Life Tv,televízió,0
10412,M1,televízió,1
10414,M2,televízió,0
19905,M-Sat (A3),televízió,1
10434,Minimax,televízió,0
10450,MTV,televízió,0
10500,Ozone TV,televízió,0
10512,Pax TV,televízió,0
10540,PV TV,televízió,0
10547,Reflektor TV,televízió,0
10556,RTL Klub,televízió,1
19906,RTL + (TV Poén!),televízió,0
19907,SATeLIT,televízió,0
10478,Sláger TV,televízió,0
10587,Sorozat+,televízió,0
10588,Spektrum TV,televízió,0
10130,Spektrum Home,televízió,0
10593,Sport1,televízió,0
10594,Sport2,televízió,0
10590,Sport Klub,televízió,0
10003,Story 4 (Story TV),televízió,0
19909,Szív TV,televízió,0
10687,TV Paprika,televízió,0
10697,TV2,televízió,1
19910,TV3,televízió,1
10740,Viasat Explore,televízió,0
10741,Viasat History,televízió,0
10742,Viasat3,televízió,0
10700,Viasat6 (TV6),televízió,0
10747,Vitál TV,televízió,0
10748,VIVA (Z+),televízió,0
19911,Zenit TV,televízió,1
29901,Sláger Rádió,rádió,1
29902,Danubius Rádió,rádió,1
20020,Class FM,rádió,1
20102,Neo FM,rádió,1
20096,Kossuth Rádió,rádió,1
20097,Petőfi Rádió,rádió,1
20098,Bartók Rádió,rádió,1
29903,Calypso Rádió,rádió,1
20066,Juventus Rádió,rádió,1
20080,Klubrádió,rádió,1
20048,Trend FM,rádió,1
20062,Infó Rádió,rádió,1
