2010,2011,2012,2013,2014,2015,2016,2017,2018
90043,97116,97116,97116,97116,97116,97116,97116,97116
90181,90181,90181,90181,90181,90181,99425,99425,99425
90439,97602,97602,97602,97602,97602,97602,99538,99538
90866,90417,90417,90417,90417,90417,90417,90417,90417
91051,91051,91051,91051,91051,91051,91051,100016,100016
91105,91105,96994,92258,92258,92258,92258,92258,92258
91459,91459,96994,92258,92258,92258,92258,92258,92258
91548,91548,91548,91092,91092,91092,91092,91092,91092
91719,91719,91719,91719,91719,90621,90621,90621,90621
91738,91738,91738,91738,91738,90621,90621,90621,90621
91917,96789,96789,96789,96789,96789,96789,96789,96789
92000,92000,92000,92000,99037,99037,99037,100410,100410
92093,92093,92093,92093,92093,92093,99425,99425,99425
92176,92176,92176,92176,92176,92176,92176,92176,100691
92324,92324,92324,92324,92324,92324,99425,99425,99425
92637,92637,90417,90417,90417,90417,90417,90417,90417
92807,96789,96789,96789,96789,96789,96789,96789,96789
92968,90417,90417,90417,90417,90417,90417,90417,90417
93165,93165,96994,92258,92258,92258,92258,92258,92258
93186,93186,93186,93186,93186,93186,99425,99425,99425
93510,93510,96994,92258,92258,92258,92258,92258,92258
97602,97602,97602,97602,97602,97602,97602,99538,99538
98204,98204,98204,98204,98204,98204,98204,98204,100762
98205,98205,98205,98205,98205,98205,98205,98205,100762
96994,96994,96994,92258,92258,92258,92258,92258,92258
,,,,98611,98611,98611,98611,100691
,,,,98666,98666,99425,99425,99425
,,,,99037,99037,99037,100410,100410
,,,,,99383,99425,99425,99425
