Cég ID,Cégnév,Alakulás dátuma
90043,Absolut Media Szolgáltató és Kereskedelmi Korlátolt Felelősségű Társaság,03/04/1994
90054,ADOC-SEMIC Kiadói és Nyomdai Kft.,01/18/1988
90057,Advenio Műsorszolgáltató Zártkörűen Működő Részvénytársaság,09/04/2009
90167,Agro TV-ATV Zrt.,04/01/1998
199001,ALFA Televízió Korlátolt Felelősségű Társaság,04/01/1992
199002,ALFÖLDI HIRDETÉSI LAPOK Lapkiadó és Hírlapkereskedelmi Korlátolt Felelősségű Társaság,01/22/2001
90156,Artamondó Kft.,11/16/1998
90171,Autó News Kft.,09/01/1993
90181,Axel Springer- Magyarország Korlátolt Felelősségű Társaság,03/21/1990
90180,AXEL SPRINGER-BUDAPEST KIADÓI Kft,02/24/1989
98205,AXN Magyaroszág Szolgáltató Korlátolt Felelősségű Társaság,08/08/2003
90206,Baja Marketing Bajai Kommunikációs és Marketing Korlátolt Felelősségű Társaság,01/23/2007
92292,BAR-ZAL Lap-és Könyvkiadó Korlátolt Felelősségű Társaság,11/27/1998
199003,B-média Szolgáltató és Kereskedelmi Korlátolt Felelősségű Társaság,11/29/2002
199004,Bp. Piac Rt.,05/31/1995
90339,"Budai Polgár Kiadó, Tájékoztató és Kulturális Közhasznú Nonprofit Korlátolt Felelősségű Társaság",05/21/2009
199005,Buda-Pest Európa Televízió Zrt.,05/19/2009
90350,Budapest Magazines Kiadó Korlátolt Felelősségű Társaság,04/30/1993
199006,Budapest Piac Marketing Kft.,10/15/2004
199007,Busz Marketing Korlátolt Felelősségű Társaság,12/21/2007
199008,Cash-Flow Kiadó Kft,09/20/1990
90417,Chello Central Europe Műsorszolgáltató Zártkörűen Működő Részvénytársaság,08/31/2006
90439,COMEDY CENTRAL MAGYARORSZÁG Zártkörűen Működő Részvénytársaság,06/17/2008
199009,CSONGRÁD MEGYEI PIACZ Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság,10/20/1995
199010,Déli Hírlap Korlátolt Felelősségű Társaság,09/15/1989
199011,"DÉLMAGYARORSZÁG Könyv-, Lapkiadó és Nyomdaipari Korlátolt Felelősségű Társaság",06/13/1990
199012,DIÉTA Magazin Kiadó és Kulturális Szolgáltató Korlátolt Felelősségű Társaság,11/24/1997
199013,DIGITÁLFOTÓ Lapkiadó és Kereskedelmi Korlátolt Felelősségű Társaság,06/15/2001
98206,Discovery Hungary Média Szolgáltató Korlátolt Felelősségű Társaság,06/19/2006
199014,DL-AMS Média Korlátolt Felelősségű Társaság,08/21/1995
90598,Domino TV Műsorszolgáltató Zártkörűen Működő Részvénytársaság,03/30/2006
199016,DUNA MÉDIA Korlátolt Felelősségű Társaság,06/15/2005
90621,Duna Televízió Rt.,12/01/1989
90648,"Echo Hungária TV Televíziózási, Kommunikációs és Szolgáltató Rt.",01/26/2005
90653,Editorial Vagyonkezelő és Tanácsadó Korlátolt Felelősségű Társaság,09/06/2002
90772,EHÍR Esztergomi Hirdető Korlátolt Felelősségű Társaság,08/23/2006
199017,EKH Egyesült Kiadói Holding Korlátolt Felelősségű Társaság,12/19/1995
199018,Erasmus Press Kiadói Korlátolt Felelősségű Társaság,11/12/1991
92461,EST RÁDIÓ Tömegkommunikációs és Kultúrális Szolgáltató Korlátolt Felelősségű Társaság,11/17/1999
92534,Euroinvest Kommunikácios Korlátolt Felelősségű Társaság,01/29/1996
90782,EUROMÉDIA KIADÓ Lapkiadó és Reklámügynökség Korlátolt Felelősségű Társaság,01/03/2006
199019,EURO-PEGAZUS HUNGARY Kereskedelmi és Szolgáltató Kft.,09/18/1989
90804,Expressz Magyarország Zrt.,11/15/1999
199020,FAIR SYSTEM Kiállitásszervező és Ügynöki Korlátolt Felelősségű Társaság,07/02/1990
199021,Fejér Megyei Hírlap Kiadó Korlátolt Felelősségű Társaság,10/11/1994
199022,Figyelő Kiadói Részvénytársaság,11/22/1990
90866,Filmmúzeum Műsorszolgáltató Zártkörűen Működő Részvénytársaság,08/13/2008
199023,Filmmúzeum Rt.,10/06/2000
90878,FM1 Kommunikációs és Kulturális Zártkörűen Működő Részvénytársaság,10/27/2009
199024,FRENK Reklám és Kiadó Korlátolt Felelősségű Társaság,09/20/1999
98178,Geo Sales & Promo Korlátolt Felelősségű Társaság,01/01/2002
