Cég ID,Cégnév,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
90043,Absolut Media Szolgáltató és Kereskedelmi Korlátolt Felelősségű Társaság,"8600 Siófok, Új piac tér 5.","8600 Siófok, Új piac tér 5.","8600 Siófok, Új piac tér 5.","8600 Siófok, Új piac tér 5.","1021 Budapest, Bölöni Gy u 14. 1. em. 4.","1025 Budapest, Kapy út 25.","1026 Budapest, Pasaréti út 52/b.","1026 Budapest, Pasaréti út 52/b.","1026 Budapest, Pasaréti út 52/b.","1026 Budapest, Pasaréti út 52/b.","1022 Budapest, Alsó Törökvész út 9.","1022 Budapest, Alsó Törökvész út 9.",
90054,ADOC-SEMIC Kiadói és Nyomdai Kft.,"1106 Budapest, Fehér 10.","1106 Budapest, Fehér 10.","1106 Budapest, Fehér 10.","1106 Budapest, Fehér 10.","1106 Budapest, Fehér 10.","1106 Budapest, Fehér 10.","1106 Budapest, Fehér 10.","1106 Budapest, Fehér 10.","1106 Budapest, Fehér 10.","1106 Budapest, Fehér 10.","1106 Budapest, Fehér 10.","1106 Budapest, Fehér 10.",
90057,Advenio Műsorszolgáltató Zártkörűen Működő Részvénytársaság,,,,,,,,,,,,"1089 Budapest, Üllői út 102.",
90167,Agro TV-ATV Zrt.,"1134 Budapest, Klapka u 13.","1134 Budapest, Klapka u 13.","1134 Budapest, Klapka u 13.","1134 Budapest, Klapka u 13.","1134 Budapest, Klapka u 13.","1113 Budapest, Daróci utca 82.","1113 Budapest, Daróci utca 82.","1113 Budapest, Daróci utca 82.","1102 Budapest, Kőrösi Csoma Sándor út 19.","1102 Budapest, Kőrösi Csoma Sándor út 19.","1102 Budapest, Kőrösi Csoma Sándor út 19.","1102 Budapest, Kőrösi Csoma Sándor út 31.",
199001,ALFA Televízió Korlátolt Felelősségű Társaság,"1145 Budapest, Róna u. 174.","1145 Budapest, Róna u. 174.",,,,,,,,,,,
199002,ALFÖLDI HIRDETÉSI LAPOK Lapkiadó és Hírlapkereskedelmi Korlátolt Felelősségű Társaság,,,,"6720 Szeged, Stefánia út 10.","6720 Szeged, Stefánia út 10.","6720 Szeged, Stefánia út 10.","6720 Szeged, Stefánia út 10.","6720 Szeged, Stefánia út 10.",,,,,
90156,Artamondó Kft.,"2093 Budajenő, Petőfi utca 8.","2093 Budajenő, Petőfi utca 8.","2093 Budajenő, Petőfi utca 8.","2093 Budajenő, Petőfi utca 8.","1062 Budapest, Andrássy út 124.","1062 Budapest, Andrássy út 124.","1062 Budapest, Andrássy út 124.","1087 Budapest, Százados út 3-13. 10. ép. 18.","1087 Budapest, Százados út 3-13. 10. ép. 18.","1087 Budapest, Százados út 3-13. 10. ép. 18.","1087 Budapest, Százados út 3-13. 10. ép. 18.","1087 Budapest, Százados út 3-13. 10. ép. 18.",
90171,Autó News Kft.,"1142 Budapest, Dorozsmai u. 74.","1142 Budapest, Dorozsmai u. 74.","1142 Budapest, Dorozsmai u. 74.","1142 Budapest, Dorozsmai u. 74.","1142 Budapest, Dorozsmai u. 74.","1142 Budapest, Dorozsmai u. 74.","1142 Budapest, Dorozsmai u. 74.","1142 Budapest, Dorozsmai u. 74.","1142 Budapest, Dorozsmai u. 74.","1142 Budapest, Dorozsmai u. 74.","1142 Budapest, Dorozsmai u. 74.","1142 Budapest, Dorozsmai u. 74.",
90181,Axel Springer- Magyarország Korlátolt Felelősségű Társaság,"2800 Tatabánya, Felszabadulás tér 4.","2800 Tatabánya, Felszabadulás tér 4.","2800 Tatabánya, Fő tér 4.","2800 Tatabánya, Fő tér 4.","2800 Tatabánya, Fő tér 4.","2800 Tatabánya, Fő tér 4.","2800 Tatabánya, Fő tér 4.","2800 Tatabánya, Fő tér 4.","2800 Tatabánya, Fő tér 4.","2800 Tatabánya, Fő tér 4.","2800 Tatabánya, Fő tér 4.","2800 Tatabánya, Fő tér 4.",
90180,AXEL SPRINGER-BUDAPEST KIADÓI Kft,"1122 Budapest, Városmajor u. 11.","1122 Budapest, Városmajor u. 11.","1122 Budapest, Városmajor u. 11.","1122 Budapest, Városmajor u. 11.","1122 Budapest, Városmajor u. 11.","1122 Budapest, Városmajor u. 11.","1122 Budapest, Városmajor u. 11.","1122 Budapest, Városmajor u. 11.","1122 Budapest, Városmajor u. 11.","1122 Budapest, Városmajor u. 11.","1122 Budapest, Városmajor u. 11.","1122 Budapest, Városmajor u. 11.",
